text,pos,total,pos_unique
chapitre premier chapitre rencontre nouveau vie auteur,"['NOUN', 'ADJ', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'NOUN']",7,2
montagnes symboliques,"['NOUN', 'ADJ']",2,2
lecteur sérieux,"['NOUN', 'ADJ']",2,2
alpinisme passage patriarches,"['NOUN', 'NOUN', 'ADJ']",3,2
père sogol,"['NOUN', 'ADJ']",2,2
parc intérieur cerveau extérieur,"['NOUN', 'ADJ', 'NOUN', 'ADJ']",4,2
art faire connaissance,"['NOUN', 'VERB', 'NOUN']",3,2
homme caressait pensées rebrousse-poil,"['NOUN', 'VERB', 'NOUN', 'ADJ']",4,3
confidences,['NOUN'],1,1
monastère satanique,"['NOUN', 'ADJ']",2,2
comment diable service induisit tentation ingénieux moine,"['ADV', 'NOUN', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN']",7,3
industrieuse physique,"['ADJ', 'NOUN']",2,2
maladie père sogol,"['NOUN', 'NOUN']",2,1
histoire mouches,"['NOUN', 'NOUN']",2,1
peur mort,"['NOUN', 'ADJ']",2,2
cœur furieux raison acier,"['NOUN', 'ADJ', 'NOUN', 'NOUN']",4,2
projet fou ramené simple problème triangulation,"['NOUN', 'ADJ', 'VERB', 'ADJ', 'NOUN', 'NOUN']",6,3
loi psychologique,"['NOUN', 'ADJ']",2,2
commencement tout vais raconter écriture inconnue enveloppe,"['NOUN', 'PRON', 'VERB', 'VERB', 'NOUN', 'ADJ', 'NOUN']",7,4
traits plume traçaient nom adresse revue fossiles laquelle collaborais où fait suivre lettre mélange tournant violence douceur,"['NOUN', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'PRON', 'VERB', 'ADV', 'AUX', 'VERB', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'ADJ']",17,6
derrière questions formulais expéditeur contenu possibles message vague puissant pressentiment évoquait image pavé mare grenouilles,"['ADP', 'NOUN', 'ADJ', 'NOUN', 'VERB', 'ADJ', 'NOUN', 'ADJ', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'NOUN']",15,4
fond aveu montait comme bulle vie devenue bien stagnante derniers temps,"['NOUN', 'NOUN', 'VERB', 'ADP', 'NOUN', 'NOUN', 'VERB', 'ADV', 'ADJ', 'ADJ', 'NOUN']",11,5
aussi quand ouvris lettre su distinguer si faisait effet vivifiante bouffée air frais désagréable courant air,"['ADV', 'SCONJ', 'VERB', 'NOUN', 'VERB', 'VERB', 'SCONJ', 'VERB', 'NOUN', 'ADJ', 'NOUN', 'NOUN', 'ADJ', 'ADJ', 'ADJ', 'NOUN']",16,5
écriture rapide bien liée disait tout trait monsieur lu article mont analogue,"['NOUN', 'ADJ', 'ADV', 'VERB', 'VERB', 'DET', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'NOUN', 'ADJ']",12,5
cru seul jusqu ici être convaincu existence,"['VERB', 'ADJ', 'ADP', 'ADV', 'AUX', 'VERB', 'NOUN']",7,6
aujourd hui deux demain dix plus peut-être pourra tenter expédition,"['INTJ', 'PROPN', 'NUM', 'ADV', 'NUM', 'ADV', 'ADV', 'VERB', 'VERB', 'NOUN']",10,6
faut prenions contact plus vite possible,"['VERB', 'VERB', 'NOUN', 'ADV', 'ADV', 'ADJ']",6,4
téléphonez -moi dès pourrez numéros ci-dessous,"['VERB', 'PRON', 'ADP', 'VERB', 'NOUN', 'ADV']",6,5
attends,['VERB'],1,1
pierre sogol passage patriarches paris,"['NOUN', 'ADP', 'NOUN', 'ADJ', 'NOUN']",5,3
suivaient cinq six numéros téléphone à lesquels pouvais appeler différentes heures journée,"['VERB', 'NUM', 'NUM', 'NOUN', 'NOUN', 'ADP', 'PRON', 'VERB', 'VERB', 'DET', 'NOUN', 'VERB']",12,6
déjà presque oublié article à lequel correspondant faisait allusion paru près trois mois auparavant numéro mai revue fossiles,"['ADV', 'ADV', 'VERB', 'NOUN', 'ADP', 'PRON', 'VERB', 'VERB', 'NOUN', 'VERB', 'ADV', 'NUM', 'NOUN', 'ADV', 'NOUN', 'NOUN', 'NOUN', 'ADJ']",18,7
flatté cette marque intérêt lecteur inconnu éprouvais temps certain malaise voir prendre tellement sérieux presque tragique fantaisie littéraire moment assez exalté maintenant souvenir déjà lointain refroidi,"['VERB', 'DET', 'NOUN', 'NOUN', 'NOUN', 'ADJ', 'VERB', 'NOUN', 'ADJ', 'ADJ', 'VERB', 'VERB', 'ADV', 'ADJ', 'ADV', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'ADV', 'ADJ', 'ADV', 'NOUN', 'ADV', 'ADJ', 'VERB']",26,5
relus cet article,"['VERB', 'DET', 'NOUN']",3,3
étude assez rapide signification symbolique montagne anciennes mythologies,"['NOUN', 'ADV', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'ADJ', 'NOUN']",8,3
